題號,分類,人物歸屬,題型,特殊標記,題目,選項A,選項B,選項C,選項D,正確答案,備註
20,動漫知識,師父,文字題,,聖鬥士星矢中——雙子座撒卡所使用的知名招式是什麼？巨蟹座黑聖鬥士是被誰打敗的？,,,,,撒卡招式：銀河星爆（Galaxian Explosion）| 打敗巨蟹座：紫龍,
21,動漫知識,劉宇謙,看圖題,,玩具櫃內的灌籃高手模型——從左到右 1～5，宮城良田排在第幾？他是左手持球還是右手持球？,,,,,宮城排序：第 4 位 | 持球：右手,請插入灌籃高手模型照片
22,動漫知識,酥酥,文字題,,火影忍者中——鳴人還沒成為下忍前，偷了什麼禁術卷軸？哪個人用背部幫他擋下了大型手裡劍？,,,,,禁術：多重影分身之術 | 擋手裡劍的人：伊魯卡老師,
23,動漫知識,師父,文字題,,死神（BLEACH）中——友哈巴赫是從「過去」還是「未來」摧毀了一護的斬月？那為什麼後來斬月又好了？,,,,,摧毀時間：從未來 | 復原原因：月島秀勝從「過去」植入了斬月沒有斷裂的片段,
24,動漫知識,劉宇謙,文字題,,航海王中，名字帶有「D」的角色，請說出至少五位！,,,,,蒙其D魯夫、哥爾D羅傑、波特卡斯D艾斯、馬歇爾D汀奇、哈古瓦爾D薩烏羅、蒙其D卡普、蒙其D多拉格、奈菲魯塔利D莉莉（共8位）,
25,互動遊戲,團康,互動題,,⏱️ 限時 30 秒！請說出李岳鴻的「十大惡行」，不可以重複！主持人計時，說滿十條即得分,,,,,主持人自由判定！30 秒內說出 10 條不重複的惡行即得分,
26,現代生活,團康,競賽題,,三位壽星一起討論：李岳鴻「今天」最常用的 APP 是什麼？限時 60 秒討論，三人說出同一個答案，由李岳鴻本人裁定！,,,,,三人答案一致 + 李岳鴻本人點頭確認 → ⭕,
27,師父理想型,團康,競賽題,,由李岳鴻從 IG 找出一張女生照片。酥酥與劉宇謙各自不討論，秘密判斷：「這是否為師父的理想型？」兩人答案必須一致，且師父本人點頭確認。,,,,,酥酥 + 劉宇謙答案一致，且師父確認 → ⭕,
28,Sunny 出題,團康,競賽題,,由 Sunny 隨機出一道題目（無指定範圍）。Sunny 指定一名壽星回答。答案必須讓 Sunny 滿意才算答對！Sunny 擁有最終裁判權。,,,,,Sunny 滿意 → ⭕,
29,真話假話,團康,競賽題,,阿珊 悄悄告訴 馮國隆 三句話：兩句是只有劉宇謙才知道的真話、一句是假話。馮國隆轉述後，劉宇謙必須猜出哪一句是假話！,,,,,劉宇謙猜對假話 → ⭕,
30,人體烏龜翹,團康,競賽題,,由客隊一人擔任「館主」。雙方呈伏地挺身姿勢，可伸出左手、右手、左腳、右腳或抬頭。三位壽星在 60 秒內聯手擊敗館主！,,,,,60 秒內三人擊敗館主 → ⭕,
31,速喝競賽,團康,競賽題,,老馮與老鄭聯手派出李岳鴻，與壽星中一人進行「速喝」對決！壽星自行決定派誰出戰。最快喝完的一方獲勝！,,,,,壽星方先喝完 → ⭕,
32,雙人 5-10-15,團康,競賽題,,客隊兩人一組 VS 主隊兩人一組。一人當左手、一人當右手，由右手負責喊數字。三局兩勝制，壽星隊贏兩輪即得分！,,,,,壽星隊勝兩輪（含）→ ⭕,
33,三人交杯,團康,競賽題,,三位壽星：酥酥、師父、劉宇謙一起舉杯——三人交杯對飲一杯！完成即得分。,,,,,三人同時喝完 → ⭕（無條件得分）,
34,酒杯炸彈,團康,競賽題,,主隊三壽星 VS 客隊（李岳鴻、馮國隆、Sunny）交錯坐好。主辦持續出數學題，答對往下傳、答錯繼續作答直到對為止。音樂停止時，酒杯停在客隊手中 → 主隊獲勝！,,,,,音樂停止時酒杯停在客隊 → ⭕,
35,男生女生配,團康,競賽題,,壽星主隊 VS 客隊（Amy、Sunny、李岳鴻）進行「節奏男生女生配」對決！主辦擔任裁判，壽星隊獲勝即得分。,,,,,主辦裁判壽星隊勝 → ⭕,
36,倒酒滿杯,團康,競賽題,,三位壽星主隊 VS 客隊三人，雙方交錯排列。輪流互相倒酒，每次只能倒一點點。誰的酒杯先溢出，該隊即算失敗！壽星隊全員撐到最後即得分。,,,,,客隊有人酒杯溢出 → 壽星隊勝 ⭕,
